Code,Description
1011801,"Anaa, French Polynesia: Anaa Airport"
1011802,"Anaa, French Polynesia: Anaa Airport"
1011901,"Arrabury, Australia: Arrabury Station"
1012001,"El Arish, Egypt: El Arish International"
1012002,"El Arish, Egypt: El Arish International"
1012101,"Annaba, Algeria: Rabah Bitat"
1012102,"Annaba, Algeria: Rabah Bitat"
1012201,"Apalachicola, FL: Apalachicola Regional"
1012202,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field"
1012301,"Aachen, West Germany: Aachen/Merzbruck"
1012302,"Aachen, Germany: Aachen/Merzbruck"
1012303,"Aachen, Germany: Aachen/Merzbruck"
1012401,"Arraias, Brazil: Arraias Airport"
1012402,"Arraias, Brazil: Arraias Airport"
1012403,"Arraias, Brazil: Arraias Airport"
1012501,"Aalborg, Denmark: Aalborg Airport"
1012502,"Aalborg, Denmark: Aalborg Airport"
1012601,"Mala Mala, South Africa: Malamala"
1012602,"Mala Mala, South Africa: Malamala"
1012701,"Al Ain, United Arab Emirates: Al Ain International"
1012702,"Al Ain, United Arab Emirates: Al Ain International"
1012801,"Anaco, Venezuela: Anaco Airport"
1012802,"Anaco, Venezuela: Anaco Airport"
1012803,"Anaco, Venezuela: Anaco Airport"
1012901,"Anapa, Russia: Vityazevo"
1012902,"Anapa, Russia: Vityazevo"
1012903,"Anapa, Russia: Anapa Airport"
1013001,"Aarhus, Denmark: Tirstrup"
1013002,"Aarhus, Denmark: Tirstrup"
1013003,"Aarhus, Denmark: Aarhus Airport"
1013101,"Asau, Samoa: Asau W Sam"
1013201,"Araxa, Brazil: Araxa Airport"
1013202,"Araxa, Brazil: Araxa Airport"
1013401,"Abadan, Iran: Abadan Airport"
1013402,"Abadan, Iran: Abadan Airport"
1013403,"Abadan, Iran: Abadan Airport"
1013501,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
1013502,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
1013503,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
1013601,"Abilene, TX: Abilene Regional"
1013602,"Abilene, TX: Abilene Regional"
1013603,"Abilene, TX: Abilene Regional"
1013701,"Abidjan, Cote d'Ivoire: Abidjan Felix Houphouet Boigny International"
1013702,"Abidjan, Cote d'Ivoire: Abidjan Felix Houphouet Boigny International"
1013703,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan"
1013704,"Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International"
1013801,"Kabri Dar, Ethiopia: Kabri Dar Airport"
1013802,"Kabri Dar, Ethiopia: Kebri Dahar"
1013803,"Kabri Dar, Ethiopia: Kebri Dahar"
1013901,"Ambler, AK: Ambler River"
